TaskID,TaskName,Department,Owner,RiskLevel,StartMonth,PlannedDurationMonths,PlannedEndMonth,ActualEndMonth,PlannedCostUSD,Month,MonthActualProgressPct,MonthCumulativeProgressPct,MonthSpendUSD,CompletedOnTime
1,Task 1,Platform,Employee_78,High,6,2,7,10,12240.89,1,0.0,0.0,0.0,False
1,Task 1,Platform,Employee_78,High,6,2,7,10,12240.89,2,0.0,0.0,0.0,False
1,Task 1,Platform,Employee_78,High,6,2,7,10,12240.89,3,0.0,0.0,0.0,False
1,Task 1,Platform,Employee_78,High,6,2,7,10,12240.89,4,0.0,0.0,0.0,False
1,Task 1,Platform,Employee_78,High,6,2,7,10,12240.89,5,0.0,0.0,0.0,False
1,Task 1,Platform,Employee_78,High,6,2,7,10,12240.89,6,25.54,25.54,2825.71,False
1,Task 1,Platform,Employee_78,High,6,2,7,10,12240.89,7,6.62,32.17,762.48,False
1,Task 1,Platform,Employee_78,High,6,2,7,10,12240.89,8,9.25,41.42,1319.65,False
1,Task 1,Platform,Employee_78,High,6,2,7,10,12240.89,9,34.25,75.66,3781.22,False
2,Task 2,Security,Employee_60,High,4,3,6,8,26763.43,1,0.0,0.0,0.0,False
2,Task 2,Security,Employee_60,High,4,3,6,8,26763.43,2,0.0,0.0,0.0,False
2,Task 2,Security,Employee_60,High,4,3,6,8,26763.43,3,0.0,0.0,0.0,False
2,Task 2,Security,Employee_60,High,4,3,6,8,26763.43,4,19.5,19.5,5191.06,False
2,Task 2,Security,Employee_60,High,4,3,6,8,26763.43,5,23.73,43.22,6541.22,False
2,Task 2,Security,Employee_60,High,4,3,6,8,26763.43,6,22.55,65.77,7232.26,False
2,Task 2,Security,Employee_60,High,4,3,6,8,26763.43,7,9.91,75.68,3075.93,False
2,Task 2,Security,Employee_60,High,4,3,6,8,26763.43,8,24.32,100.0,8070.51,False
2,Task 2,Security,Employee_60,High,4,3,6,8,26763.43,9,0.0,100.0,0.0,False
3,Task 3,Security,Employee_88,Low,3,1,3,6,21250.56,1,0.0,0.0,0.0,False
3,Task 3,Security,Employee_88,Low,3,1,3,6,21250.56,2,0.0,0.0,0.0,False
3,Task 3,Security,Employee_88,Low,3,1,3,6,21250.56,3,36.06,36.06,7709.68,False
